Date,Open,High,Low,Close,Adj Close,Volume
3/11/2020,34.849998,35.07,34.16,34.52,32.17284,45296100
3/12/2020,31.860001,33.43,31.059999,31.33,29.199741,84215200
3/13/2020,32.919998,34.610001,31.860001,34.470001,32.12624,64688800
3/16/2020,31,33.889999,30.92,31.809999,29.647102,58776600
3/17/2020,32.119999,34.060001,32.009998,33.740002,31.445877,59642000
3/18/2020,32,32.91,30.25,32.849998,30.616388,76034400
3/19/2020,31.360001,32.490002,30.5,31.15,29.031979,60817200
3/20/2020,30.459999,30.5,28.18,28.450001,26.515562,116732300
3/23/2020,27.389999,27.709999,26.08,26.77,24.949795,96884100
3/24/2020,28,28.299999,26.84,28.09,26.180042,76300900
3/25/2020,28.08,29.93,27.370001,28.4,26.468964,68027700
3/26/2020,28.68,30.959999,28.68,30.6,28.519377,64038000
3/27/2020,29.690001,30.82,29.219999,29.84,27.81105,46386000
3/30/2020,29.9,30.41,29.48,30.23,28.174532,41629900
3/31/2020,30.040001,30.129999,29.049999,29.15,27.167969,69813400
4/1/2020,28.379999,28.58,27.700001,28.049999,26.142761,54646000
4/2/2020,28,28.870001,28,28.76,26.804485,33818400
4/3/2020,28.530001,28.74,27.25,27.459999,25.592876,53443200
4/6/2020,28.4,29.68,28.309999,29.440001,27.43825,53502000
4/7/2020,30.440001,30.969999,30.07,30.08,28.034735,54265500
4/8/2020,29.950001,30,29.1,29.889999,28.347704,40793300
4/9/2020,30,30.940001,29.99,30.73,29.144361,50332700
4/13/2020,30.5,30.719999,29.9,30.190001,28.632227,34145800
4/14/2020,30.690001,31.16,30.35,31.129999,29.523722,31941500
4/15/2020,30.629999,30.959999,29.959999,30.09,28.537386,37542900
4/16/2020,30.280001,30.280001,29.709999,30.16,28.603775,32533900
4/17/2020,30.85,31.25,30.700001,31.23,29.618563,34656200
4/20/2020,30.85,31.42,30.700001,30.98,29.381462,30583200
4/21/2020,30.51,30.52,29.639999,29.870001,28.328737,43213100
4/22/2020,30.9,30.9,29.309999,29.469999,27.949377,50764200
4/23/2020,29.440001,30.049999,29.33,29.5,27.977829,34011500
4/24/2020,29.59,29.950001,29.15,29.709999,28.176992,35567700
4/27/2020,29.99,30.68,29.74,30.540001,28.964169,33320700
4/28/2020,31,31.120001,30.620001,30.65,29.068489,30924800
4/29/2020,31.129999,31.870001,31.07,31.43,29.808243,33160100
